Date,Average Pace (min/mile),Average Heart Rate (beats/min),Beats per Mile,Long Run?
12/16/24,12.23333333,141,1724.9,0
12/21/24,11.33333333,150,1700,0
12/22/24,11.45,163,1866.35,0
12/25/24,12.35,163,2013.05,0
12/27/24,11.88333333,155,1841.916667,0
12/29/24,12.31666667,160,1970.666667,0
12/31/24,12.45,149,1855.05,0
1/2/25,12.33333333,152,1874.666667,0
1/4/25,11.68333333,157,1834.283333,0
1/13/25,11.78333333,170,2003.166667,0
1/17/25,11.5,166,1909,0
1/24/25,11.45,151,1728.95,0
1/27/25,11.25,161,1811.25,0
1/29/25,11.58333333,154,1783.833333,0
2/3/25,11.15,148,1650.2,0
2/10/25,11.5,149,1713.5,0
2/12/25,11.5666667,155,1792.83333,0
2/14/25,11.31666667,165,1867.25,0
2/17/25,11.83333333,168,1988,0
2/19/25,11.93333333,146,1742.266667,0
2/23/25,11.33333333,161,1824.666667,0
3/1/25,11.5,158,1817,0
3/3/25,10.95,160,1752,0
3/5/25,11.2,157,1758.4,0
3/7/25,11.01666667,180,1983,0
3/10/25,10.31666667,164,1691.933333,0
3/12/25,11.46666667,153,1754.4,0
3/15/25,11.41666667,175,1997.916667,0
3/18/25,11.36666667,152,1727.733333,0
3/19/25,12.08333333,148,1788.333333,0
3/21/25,10.68333333,157,1677.283333,0
3/24/25,10.86666667,160,1738.666667,0
3/27/25,10.36666667,148,1534.266667,0
3/28/25,10.31666667,142,1464.966667,0
3/31/25,10.26666667,163,1673.466667,0
4/2/25,10.81666667,160,1730.666667,0
4/4/25,10.21666667,162,1655.1,0
4/5/25,10.88333333,148,1610.733333,0
4/7/25,10.43333333,151,1575.433333,0
4/9/25,10.86666667,150,1630,0
4/11/25,10.55,155,1635.25,0
4/12/25,10,158,1580,0
4/14/25,10.41666667,155,1614.583333,0
4/16/25,9.866666667,160,1578.666667,0
4/18/25,10.38333333,159,1650.95,0
4/19/25,10.55,158,1666.9,0
4/21/25,10.26666667,160,1642.666667,0
4/23/25,10.78333333,151,1628.283333,0
4/25/25,10.55,150,1582.5,0
4/26/25,10.21666667,167,1706.183333,0
4/28/25,10.2,157,1601.4,0
4/30/25,10.6,157,1664.2,0
5/2/25,10.05,159,1597.95,0
5/3/25,10.18333333,162,1649.7,0
5/5/25,10.35,155,1604.25,0
5/7/25,9.75,159,1550.25,0
5/9/25,10.46666667,156,1632.8,0
5/10/25,10.2,159,1621.8,0
5/13/25,10.35,163,1687.05,0
5/15/25,10,160,1600,0
5/18/25,9.9,162,1603.8,0
5/20/25,10.41666667,159,1656.25,0
5/21/25,9.783333333,153,1496.85,0
5/23/25,10.21666667,160,1634.666667,0
5/24/25,11.13333333,139,1547.533333,0
5/26/25,9.716666667,158,1535.233333,0
5/28/25,10.15,162,1644.3,0
5/29/25,10.08333333,159,1603.25,0
5/31/25,10.01666667,160,1602.666667,0
6/2/25,10.55,159,1677.45,0
6/4/25,10.16666667,161,1636.833333,0
6/6/25,10.06666667,166,1671.066667,0
6/7/25,10.35,155,1604.25,0
6/9/25,9.6,157,1507.2,0
6/11/25,9.766666667,167,1631.033333,0
6/15/25,12.01666667,148,1778.466667,0
6/18/25,10.36666667,160,1658.666667,0
6/19/25,10.35,163,1687.05,0
6/21/25,10.36666667,150,1555,0
6/22/25,11.28333333,154,1737.633333,1
6/27/25,10.25,153,1568.25,0
6/28/25,11.21666667,158,1772.233333,1
6/30/25,10.38333333,162,1682.1,0
